name,speciality,rating,delivery_time,pricing,offer,conditions
Andhra Biryani,"Biryani, Chinese, North Indian",3.6,41 MINS,Rs. 300 FOR TWO, ,Rs. 10 distance fee applicable
Hot Pan Pizza,Indian,--,50 MINS,Rs. 400 FOR TWO, ,Rs. 30 distance fee applicable
JALWA DINING,Indian,--,43 MINS,Rs. 450 FOR TWO, , 
Bhiwandi Darbar,North Indian,3.6,46 MINS,Rs. 400 FOR TWO, ,Rs. 10 distance fee applicable
Dhhyaas's Hyderabad Biryani Paradise,"Biryani, North Indian",--,47 MINS,Rs. 300 FOR TWO,10% off on orders above Rs. 99,Rs. 30 distance fee applicable
The Coffee Cafe,"Beverages, Fast Food",3.3,48 MINS,Rs. 250 FOR TWO,30% off | Use coupon JUMBO,Rs. 30 distance fee applicable
18 Hrs,"Pizzas, Fast Food, Chinese, Snacks, Beverages",--,39 MINS,Rs. 400 FOR TWO,30% off | Use coupon SWIGGYIT,Rs. 10 distance fee applicable
Khaolite-X,"Juices, Salads, Healthy Food",4.4,42 MINS,Rs. 300 FOR TWO, ,Rs. 10 distance fee applicable
Honey Singh Parathewala,"North Indian, Punjabi",3.7,42 MINS,Rs. 700 FOR TWO, ,Rs. 10 distance fee applicable
Cream Stone,"Ice Cream, Desserts",4.3,39 MINS,Rs. 300 FOR TWO, ,Rs. 10 distance fee applicable
Kiraaak,"Chinese, North Indian",--,42 MINS,Rs. 300 FOR TWO, ,Rs. 10 distance fee applicable
The Happy Place Cafe,Cafe,--,36 MINS,Rs. 100 FOR TWO, , 
Moshi Moshi,Asian,--,32 MINS,Rs. 1600 FOR TWO, , 
Foodies Tiffin & Catering Services,Indian,--,51 MINS,Rs. 300 FOR TWO, ,Rs. 30 distance fee applicable
Noods,"Cafe, Chinese, Fast Food",--,39 MINS,Rs. 200 FOR TWO,30% off | Use coupon SWIGGYIT, 
Punjabi Chilly,"North Indian, Chinese",--,43 MINS,Rs. 400 FOR TWO,20% off | Use coupon SWIGGYIT,Rs. 10 distance fee applicable
Hotel Shivani,Chinese,--,46 MINS,Rs. 200 FOR TWO, ,Rs. 10 distance fee applicable
Frozen Shakes,Beverages,--,32 MINS,Rs. 280 FOR TWO, , 
16 Icy Rolls,Ice Cream,--,32 MINS,Rs. 300 FOR TWO, , 
Khichdi Baba,"Home Food, Healthy Food, Indian, North Indian",--,38 MINS,Rs. 300 FOR TWO, , 
China Knight,"Beverages, Chinese, Fast Food, Continental, Pastas",--,53 MINS,Rs. 300 FOR TWO,20% off on all orders,Rs. 30 distance fee applicable

